10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|Truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|SUV|Gray|103221|6995.00
55210|2018|Toyota|Camry|Sedan|Black|45211|15995.00
66123|2015|Nissan|Altima|Sedan|White|88231|8995.00
77445|2020|Chevrolet|Malibu|Sedan|Blue|30112|17995.00
88901|2016|Jeep|Cherokee|SUV|Silver|76420|13995.00
99032|2019|Hyundai|Elantra|Sedan|Red|41200|14995.00
11234|2017|Kia|Sportage|SUV|Green|69312|12995.00
22345|2021|Tesla|Model 3|Sedan|White|18211|32995.00
